"url","page_type","seo_priority_score","MetricsAggregate","latitude","longitude"
"/illinois/chicago-apartments","SrpCityApt",0.1992359514,41673,-87.6325,41.8838
"/florida/orlando-apartments","SrpCityApt",0.1384453273,63967,-81.3794,28.5381
"/minnesota/minneapolis-apartments","SrpCityApt",0.1139158145,51210,-93.2636,44.98
"/washington/seattle-apartments","SrpCityApt",0.0988897149,7759,-122.3308,47.6064
"/florida/tampa-apartments","SrpCityApt",0.0929346843,38447,-82.5017,27.9377
"/georgia/atlanta-apartments","SrpCityApt",0.0885483196,32875,-84.3881,33.7489
"/texas/arlington-apartments","SrpCityApt",0.0831838968,34611,-97.1078,32.7356
"/north-carolina/charlotte-apartments","SrpCityApt",0.0826460927,15713,-80.8433,35.2269
"/indiana/indianapolis-apartments","SrpCityApt",0.0806005754,29124,-86.1581,39.7683
"/florida/miami-apartments","SrpCityApt",0.0783919265,42447,-80.1939,25.7739
"/nevada/las-vegas-apartments","SrpCityApt",0.0761507296,42970,-115.1364,36.175
"/ohio/columbus-apartments","SrpCityApt",0.0753277019,22226,-82.9989,39.9611
"/florida/kissimmee-apartments","SrpCityApt",0.0746693975,38677,-81.4078,28.2917
"/texas/austin-apartments","SrpCityApt",0.0744751348,10837,-97.7428,30.2669
"/new-jersey/newark-apartments","SrpCityApt",0.0737387821,32603,-74.1728,40.7356
"/arizona/phoenix-apartments","SrpCityApt",0.0720423015,32650,-112.0733,33.4483
"/california/riverside-apartments","SrpCityApt",0.0712435407,38427,-117.3953,33.9533
"/florida/jacksonville-apartments","SrpCityApt",0.0706605359,20521,-81.6558,30.3319
"/texas/dallas-apartments","SrpCityApt",0.0664547518,21442,-96.8,32.7833
"/north-carolina/raleigh-apartments","SrpCityApt",0.0658412413,21106,-78.6389,35.7719
"/texas/houston-apartments","SrpCityApt",0.0651024435,23737,-95.3631,29.7631
"/nevada/reno-apartments","SrpCityApt",0.0644927874,24506,-119.8128,39.5297
"/california/los-angeles-apartments","SrpCityApt",0.0559428976,34535,-118.2428,34.0522
"/california/san-diego-apartments","SrpCityApt",0.0555913401,25656,-117.1564,32.7153
"/new-jersey/east-orange-apartments","SrpCityApt",0.0539940529,24694,-74.2053,40.7672
"/michigan/detroit-apartments","SrpCityApt",0.0530928249,26168,-83.0869,42.3496
"/new-jersey/elizabeth-apartments","SrpCityApt",0.0521476346,22737,-74.2111,40.6639
"/colorado/denver-apartments","SrpCityApt",0.0520722911,18187,-104.9849,39.7401
"/new-york/buffalo-apartments","SrpCityApt",0.0500467055,20471,-78.8786,42.8864
"/california/sacramento-apartments","SrpCityApt",0.0480160126,22447,-121.4933,38.5817
"/washington/vancouver-apartments","SrpCityApt",0.0473702902,7559,-122.6603,45.6389
"/texas/irving-apartments","SrpCityApt",0.0473650001,15979,-96.9486,32.8139
"/district-of-columbia/washington-apartments","SrpCityApt",0.0462226464,10093,-77.0362,38.8921
"/kentucky/louisville-apartments","SrpCityApt",0.0459394111,11473,-85.7594,38.2542
"/california/fresno-apartments","SrpCityApt",0.0443045579,15842,-119.7714,36.7478
"/georgia/augusta-apartments","SrpCityApt",0.0439502337,15878,-82.0167,33.4667
"/minnesota/saint-paul-apartments","SrpCityApt",0.0437805483,19277,-93.0931,44.9444
"/arizona/tempe-apartments","SrpCityApt",0.0435725123,6812,-111.9086,33.4147
"/south-carolina/columbia-apartments","SrpCityApt",0.0434177606,9946,-81.035,34.0006
"/texas/denton-apartments","SrpCityApt",0.0432216436,17213,-97.1328,33.2147
"/texas/grand-prairie-apartments","SrpCityApt",0.0431551573,21683,-96.9975,32.7458
"/arkansas/fayetteville-apartments","SrpCityApt",0.0429024715,17184,-94.1572,36.0625
"/new-jersey/jersey-city-apartments","SrpCityApt",0.0426616218,22252,-74.0781,40.7281
"/tennessee/nashville-apartments","SrpCityApt",0.0422162776,8094,-86.7844,36.1658
"/indiana/avon-apartments","SrpCityApt",0.0420878996,2101,-86.3997,39.7628
"/arizona/mesa-apartments","SrpCityApt",0.0415778036,15634,-111.8219,33.4222
"/colorado/colorado-springs-apartments","SrpCityApt",0.0413960254,22468,-104.8208,38.8339
"/alabama/birmingham-apartments","SrpCityApt",0.0407539989,4266,-86.8025,33.5206
"/texas/midland-apartments","SrpCityApt",0.0404372153,10818,-102.0775,31.9972
"/texas/fort-worth-apartments","SrpCityApt",0.0400693986,18096,-97.3206,32.7253
"/tennessee/memphis-apartments","SrpCityApt",0.0397918637,14551,-90.0489,35.1494
"/wisconsin/madison-apartments","SrpCityApt",0.0397246869,8082,-89.4011,43.0731
"/new-york/new-york-apartments","SrpCityApt",0.0395194368,10722,-73.9946,40.7204
"/oregon/portland-apartments","SrpCityApt",0.0388815977,7472,-122.676,45.5235
"/new-york/rochester-apartments","SrpCityApt",0.0386030981,10635,-77.6158,43.1547
"/texas/mesquite-apartments","SrpCityApt",0.0383180393,17722,-96.5989,32.7667
"/florida/west-palm-beach-apartments","SrpCityApt",0.0376157557,19719,-80.0536,26.715
"/new-jersey/irvington-apartments","SrpCityApt",0.0375338437,16509,-74.2353,40.7322
"/texas/san-antonio-apartments","SrpCityApt",0.0374065734,11937,-98.4933,29.4239
"/pennsylvania/philadelphia-apartments","SrpCityApt",0.0370187278,18108,-75.179,39.962
"/colorado/lakewood-apartments","SrpCityApt",0.0370142587,16705,-105.0808,39.7047
"/washington/tacoma-apartments","SrpCityApt",0.0369979123,13873,-122.4431,47.2531
"/california/san-bernardino-apartments","SrpCityApt",0.0369928036,19411,-117.2889,34.1083
"/florida/fort-lauderdale-apartments","SrpCityApt",0.0369671445,19453,-80.1436,26.1219
"/florida/saint-petersburg-apartments","SrpCityApt",0.0367466430,14087,-82.6794,27.7706
"/washington/spokane-apartments","SrpCityApt",0.0357729660,14671,-117.425,47.6589
"/florida/hollywood-apartments","SrpCityApt",0.0351425961,13920,-80.1497,26.0108
"/michigan/warren-apartments","SrpCityApt",0.0347745536,15393,-83.0278,42.4775
"/south-carolina/greenville-apartments","SrpCityApt",0.0345037340,9809,-82.3942,34.8525
"/minnesota/bloomington-apartments","SrpCityApt",0.0342909270,14275,-93.2981,44.8408
"/wisconsin/milwaukee-apartments","SrpCityApt",0.0342232189,16450,-87.9064,43.0389
"/georgia/savannah-apartments","SrpCityApt",0.0340574417,8106,-81.10194,32.0265
"/georgia/decatur-apartments","SrpCityApt",0.0336700935,12903,-84.2964,33.7747
"/georgia/columbus-apartments","SrpCityApt",0.0333946694,11878,-84.9878,32.4608
